RegioNaam;CDA;Partij van de Arbeid;VVD;SP;Lijst Pim Fortuyn;GL;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Etten-Leur;0.30704653032062157;0.260739483790301;0.20693042779315887;0.06582120210770742;0.05764937036706261;0.04228811288738055;0.039430204519067605;0.0050906492810574265;0.0006698222738233455;0.0033937661873716172;0.004733410735018309;0.002411360185764044;0.0012949897293918014;0.0015629186389211397;0.0002679289095293382;0.00035723854603911763;8.930963650977941e-05;0.0002232740912744485;0.0
Ferwerderadiel;0.4679125528913963;0.222672778561354;0.10190409026798307;0.05289139633286319;0.04143159379407616;0.03702397743300423;0.0171015514809591;0.04372355430183357;0.0021156558533145277;0.004583921015514809;0.006170662905500705;0.0010578279266572638;0.0007052186177715092;0.0001763046544428773;0.0001763046544428773;0.0;0.0;0.0003526093088857546;0.0
Franekeradeel;0.35800126502213786;0.32313409234661605;0.11930740037950664;0.056925996204933584;0.03549968374446553;0.04024351676154333;0.02340290955091714;0.027751423149905124;0.0018975332068311196;0.003795066413662239;0.005139152435167616;0.0024509803921568627;0.0014231499051233396;7.906388361796332e-05;0.0007115749525616698;0.0;0.0;0.00023719165085388995;0.0
Gaasterlân-Sleat;0.46007717423567823;0.1913030572870288;0.13995250816265956;0.04467200949836747;0.042149005639655686;0.04111012169783319;0.0224102107450282;0.019738794894627487;0.015880083110715346;0.00578806767586821;0.014692787177203919;0.0011872959335114278;0.0004452359750667854;0.0;0.0004452359750667854;0.0;0.0;0.00014841199168892847;0.0
Geertruidenberg;0.2996071514471258;0.29094844864908204;0.1899302493385713;0.07239637617253267;0.058927282931131246;0.03527619658462278;0.03142788422993666;0.0028060610919586307;0.0023250220476228652;0.004890563617413613;0.00641385392447687;0.0023250220476228652;0.0014431171330072958;0.0003206926962238435;0.00040086587027980436;0.00040086587027980436;8.017317405596088e-05;8.017317405596088e-05;0.0
Geldermalsen;0.31607847976307996;0.22575271470878577;0.2018756169792695;0.034982724580454094;0.06120434353405726;0.030972359328726554;0.03035538005923001;0.013203356367226061;0.07446939782823297;0.00425715695952616;0.004072063178677196;0.0017892398815399803;0.0007403751233958539;0.0;0.00024679170779861795;0.0;0.0;0.0;0.0
Geldrop;0.3234499729908169;0.2325790768861413;0.1729187923894124;0.09057079406998379;0.06386171298241403;0.050957325490666824;0.03949342776544025;0.008342836564431907;0.0006602244763219495;0.004621571334253646;0.006302142728527699;0.004021367264870056;0.001320448952643899;0.0004201428485685133;0.00024008162775343615;0.00024008162775343615;0.0;0.0;0.0
Gemert-Bakel;0.4401088929219601;0.21234119782214156;0.14470659407138536;0.08294010889292196;0.05190562613430127;0.02909860859044162;0.02220205686630369;0.0013914095583787054;0.0004234724742891712;0.004174228675136116;0.004779189352692075;0.003811252268602541;0.0007259528130671506;0.00012099213551119177;0.0003629764065335753;0.0004839685420447671;0.00018148820326678765;0.00024198427102238354;0.0
Gendringen;0.45196403218173214;0.2720460640479571;0.11894620602618709;0.05261082189619814;0.03841299889572488;0.03162959457327654;0.019719198611768417;0.0037072093390124626;0.000473260766682442;0.003155071777882947;0.002918441394541726;0.002129673450070989;0.0008676447389178104;0.0007887679444707368;0.000236630383341221;0.00015775358889414735;0.0;0.000236630383341221;0.0
Gennep;0.38827307572775305;0.24987050657826582;0.14006008494768465;0.07552056355537139;0.05272972133015643;0.04060913705583756;0.039573189681964153;0.0029006526468455403;0.0006215684243240443;0.0025898684346835183;0.0039366000207189476;0.0019683000103594738;0.0005179736869367036;0.0006215684243240443;0.00010359473738734072;0.00010359473738734072;0.0;0.0;0.0
Giessenlanden;0.3446953999171156;0.2138416908412764;0.19923331951927062;0.035847492747617074;0.04734769995855781;0.02289680895151264;0.026419394944053046;0.05946953999171156;0.040820555325321174;0.0032117695814339;0.0020721094073767096;0.0014504765851636966;0.0011396601740571901;0.0;0.0005180273518441774;0.0006216328222130128;0.00010360547036883547;0.0;0.0003108164111065064
Gilze en Rijen;0.3364709001723452;0.2596447036987936;0.1769189977462548;0.0720535595916744;0.05720535595916744;0.0392416810287684;0.03944054089884661;0.002850324804454461;0.0004640063635158425;0.003910910778204958;0.005369216492111892;0.002585178311016837;0.0011931592204693093;0.0016571655839851518;0.00019885987007821823;0.00039771974015643646;0.00013257324671881213;0.00026514649343762427;0.0
Goedereede;0.34659163575904844;0.1433687172272669;0.15117022637165878;0.023660314618237626;0.05026218186468858;0.01278935925310142;0.017777209361810972;0.03836807775930426;0.207059726307712;0.0037089141833994118;0.002557871850620284;0.000639467962655071;0.0010231487402481137;0.0001278935925310142;0.0001278935925310142;0.0;0.0003836807775930426;0.0;0.0003836807775930426
Goes;0.3181818181818182;0.24457158302549778;0.1537976394269754;0.054419317055590596;0.03761600144157131;0.053112893053428235;0.03076853770609965;0.03022794846382557;0.06460041445175241;0.0057212361474006665;0.0029281917289845933;0.0018920623479592757;0.0012163257951166772;0.0005405892422740788;0.00040544193170555904;0.0;0.0;0.0;0.0
Goirle;0.32545558086560367;0.24935933940774488;0.18906605922551253;0.08705865603644647;0.044988610478359906;0.04783599088838269;0.04278189066059226;0.001494874715261959;0.00014236902050113895;0.0029185649202733486;0.004342255125284738;0.002064350797266515;0.0012813211845102506;0.0003559225512528474;0.0002847380410022779;0.0002847380410022779;0.00021355353075170843;7.118451025056947e-05;0.0
Gorinchem;0.2237511683456226;0.3240731124727386;0.1886488731955551;0.05981929587703812;0.061325163568387166;0.041177692387579186;0.03998338352892304;0.032557898016408765;0.016512618132724064;0.004465676601931665;0.00394641188077682;0.0012981618028871118;0.00036348530480839134;0.0012462353307716274;0.0004154117769238758;0.0002596323605774224;5.1926472115484474e-05;0.00010385294423096895;0.0
Gorssel;0.31570443774235246;0.24773804394657475;0.25;0.04739336492890995;0.028759155536406723;0.04534683326152521;0.047501077121930205;0.008293838862559242;0.0006462731581214993;0.0036622145626884965;0.003015941404566997;0.001184834123222749;0.00032313657906074967;0.00010771219302024989;0.00010771219302024989;0.00010771219302024989;0.0;0.00010771219302024989;0.0
