RegioNaam;VVD;Partij van de Arbeid;PVV;CDA;SP;Democraten 66;GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit;Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Maasdriel;0.23504544493764531;0.1170999788628197;0.2405411118156838;0.17987740435425914;0.09589234129500458;0.044951736771647995;0.035440005636581416;0.013034594518424576;0.01634608609878109;0.009723102938068062;0.007538927640386106;0.003311491580356514;0.0007750299443387586;0.0003522863383357993;0.0;7.045726766715987e-05;0.0;0.0
Maasgouw;0.18453812420427218;0.12201159994341491;0.2680718630640826;0.1836893478568397;0.11960673362568963;0.04349978780591314;0.04187296647333428;0.00686094214174565;0.0009902390720045269;0.01520724289149809;0.007497524402319988;0.004314613099448295;0.0009195077097184891;0.0007073136228603763;0.0002121940868581129;0.0;0.0;0.0
Maassluis;0.2359286027157249;0.19059351730179588;0.19114104248795444;0.13178931230836619;0.09099868593955322;0.05245291283399036;0.04319973718791065;0.03301576872536137;0.005913272010512484;0.014728427507665353;0.005091984231274638;0.0031208935611038106;0.0007665352606219887;0.0007117827420061323;0.00038326763031099433;5.475251861585633e-05;0.00010950503723171266;0.0
Maastricht;0.14646792966815256;0.21576275383853394;0.22916666666666666;0.10778850916295196;0.10894935611688955;0.07807082714214958;0.07779222387320456;0.007197251114413075;0.0007119861317483903;0.015261267954432887;0.006640044576523031;0.0036373204556711244;0.0011608469539375929;0.0007738979692917285;0.0002631253095591877;0.00020121347201584942;0.0001547795938583457;0.0
Margraten;0.17437679769894535;0.14789069990412274;0.21344678811121764;0.2175215723873442;0.09911313518696069;0.05620805369127517;0.05968360498561841;0.007550335570469799;0.00047938638542665386;0.011625119846596357;0.004913710450623202;0.004314477468839885;0.0009587727708533077;0.0013183125599232981;0.00011984659635666346;0.00023969319271332693;0.00023969319271332693;0.0
Marum;0.17628365947482857;0.21960194012376652;0.13580866365612979;0.1811339688911189;0.0960026760327814;0.041980264258237164;0.04532530523498913;0.06957685231644088;0.010202374979093494;0.013212911858170263;0.006355577855828734;0.0023415286837263757;0.0010035122930255895;0.000669008195350393;0.00016725204883759825;0.00016725204883759825;0.0;0.00016725204883759825
Medemblik;0.25822275328595684;0.15200301867807056;0.16200238978680587;0.16307150493679642;0.09144078988742846;0.062197346078862965;0.05553109867303943;0.0194327400792403;0.005597132255832966;0.014841833846927867;0.009433368970505;0.003081567197031633;0.0010062260235205332;0.0010691151499905667;0.00031444563235016664;0.0001886673794101;0.0005031130117602666;6.288912647003333e-05
Meerssen;0.1676257192894671;0.15695104661829706;0.23784505045450755;0.1692936368943374;0.12517721624551748;0.05312317571511967;0.053456759236093734;0.005754315736802602;0.0007505629221916438;0.015261446084563422;0.009006755066299724;0.0030856475690100907;0.0008339588024351598;0.0007505629221916438;0.0003335835209740639;0.0003335835209740639;0.0004169794012175799;0.0
Menaldumadeel;0.15735240635228512;0.27203297369378104;0.10486119529639956;0.18984119287186327;0.11940841314098678;0.04412656079524791;0.06158322220875258;0.03224633288883501;0.0033943508304036855;0.009092011152867015;0.002424536307431204;0.0016971754152018427;0.0008485877076009214;0.0003636804461146806;0.0001212268153715602;0.0003636804461146806;0.0;0.0002424536307431204
Menterwolde;0.1390998593530239;0.32180028129395216;0.1639943741209564;0.07285513361462728;0.14120956399437412;0.04008438818565401;0.06272855133614627;0.03164556962025317;0.0035161744022503515;0.01448663853727145;0.004360056258790436;0.0011251758087201125;0.0008438818565400844;0.0007032348804500703;0.00014064697609001407;0.00014064697609001407;0.0;0.0012658227848101266
Meppel;0.20815861676243724;0.24584562820313713;0.12118859036082208;0.1262618419009163;0.09887663715897914;0.05984366102396853;0.06046487549826578;0.054822177356732414;0.0034684474814929856;0.010767717554485686;0.005176787285810426;0.003002536625770047;0.0010353574571620853;0.0005694466014391469;0.00015530361857431278;0.00020707149143241705;0.00015530361857431278;0.0
Middelburg;0.14126672613737734;0.2232649420160571;0.10947368421052632;0.1392328278322926;0.09084745762711864;0.055985727029438;0.0744335414808207;0.061302408563782336;0.07771632471008029;0.01623550401427297;0.004353256021409456;0.0030330062444246207;0.0012488849241748439;0.0007850133809099019;0.0002497769848349688;0.0005709188224799287;0.0;0.0
Middelharnis;0.1787766450417053;0.12817423540315107;0.15069508804448564;0.13725671918443003;0.07877664504170528;0.03531047265987025;0.0355885078776645;0.08683966635773864;0.15041705282669138;0.009823911028730306;0.004911955514365153;0.0012048192771084338;0.0006487488415199259;0.0012048192771084338;0.0;0.00018535681186283596;0.00018535681186283596;0.0
Midden-Delfland;0.2784529406546616;0.10911026346136787;0.12889204293444514;0.2416393151778586;0.05402288654306751;0.07451432626630002;0.05748248026257429;0.03370886188237381;0.004701499157278453;0.00780626275170762;0.006209527188858334;0.00204027321919631;0.000798367781424643;0.00017741506253880955;0.00026612259380821434;8.870753126940477e-05;8.870753126940477e-05;0.0
